node_name,memory_usage,cpu_usage,cpu_cores,total_memory,jobId,timestamp
worker28,25.0,1.4723318150813736,2,8.0,application_1726669773678_0040,2024-09-20T16:17:38
worker29,0.0,0.8491142492678572,4,1.0,application_1726669773678_0040,2024-09-20T16:17:38
worker1,0.0,0.5437332817787466,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker2,0.0,0.5748836352435394,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker3,0.0,0.5804155771092834,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker4,0.0,0.5676138166265443,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker5,0.0,0.5073401404230626,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker6,0.0,0.5585300349881361,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker7,0.0,0.5527745429749986,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker8,25.0,1.05100201294126,2,8.0,application_1726669773678_0040,2024-09-20T16:17:40
worker9,0.0,0.542332489072872,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker10,0.0,0.5611640221263592,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker11,0.0,0.5348054222370169,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker12,0.0,0.5206521772390449,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker13,0.0,0.8988519015574847,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker14,25.0,0.9959616240479696,2,8.0,application_1726669773678_0040,2024-09-20T16:17:40
worker15,0.0,0.7344890744013677,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker16,0.0,0.8267926245688617,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker17,0.0,0.929530740522222,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker18,0.0,0.8500939376393846,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker19,25.0,1.515206885715148,2,8.0,application_1726669773678_0040,2024-09-20T16:17:40
worker20,0.0,0.8966669518297721,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker21,0.0,0.7851323581376746,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker22,0.0,0.8425924656880524,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker23,25.0,1.5091364397006868,2,8.0,application_1726669773678_0040,2024-09-20T16:17:40
worker24,0.0,0.9364012364325158,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker25,0.0,0.7993516114678023,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
